Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2022;46.48;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2023;46.59;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2016;1.0;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2017;0.8;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2018;0.8;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2019;0.8;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2020;;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2021;;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2022;2.6;bochum_Naturschutzflaechen.csv
Bochum, kreisfreie Stadt;Naturschutzflächen;Naturschutzflächen (%);%;2023;;bochum_Naturschutzflaechen.csv
